TrueR2 Study_Q TrueR2_S CorM REFE FE_Estimate FE_SE FE_Bias FE_CP SampleSize Seed SplitProp Meds
0.322261364424914 2 0.32_0.32 1 FE 0.33372786189409 0.0142938698280349 0.0114664974691755 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.308533134577726 0.0143245297266211 -0.0137282298471877 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.329135880297774 0.0141419535618528 0.00687451587285998 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.329790780582356 0.0134495790433942 0.0075294161574424 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.332440528249977 0.0141423807517431 0.0101791638250629 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.3222621450727 0.0141266226439934 7.80647785803001e-07 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.338515142339999 0.0140124308001873 0.0162537779150848 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.320351754588173 0.0136047698524788 -0.0019096098367406 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.294827424107602 0.0137896214303208 -0.0274339403173119 0 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.328395340314062 0.0135741485130711 0.00613397588914766 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.314749555309494 0.0140687922363352 -0.00751180911541982 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.321367839541834 0.0139221928892625 -0.000893524883080532 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.342612228832267 0.014046054332983 0.0203508644073531 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.328276958478783 0.0135492936306968 0.0060155940538692 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.319513398942979 0.0133299316165019 -0.00274796548193501 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.317922581333385 0.014222286355194 -0.00433878309152924 1 3000 2024 0.5_0.5 150_150_150_4550
0.322261364424914 2 0.32_0.32 1 FE 0.310403561842052 0.0138852335135276 -0.011857802582862 1 3000 2024 0.5_0.5 150_150_150_4550
