TrueR2 Study_Q TrueR2_S CorM REFE FE_Estimate FE_SE FE_Bias FE_CP SampleSize Seed SplitProp Meds
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.335793497068827 0.0139933445448139 -0.00994623823513935 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.347541231810664 0.0140317261775029 0.00180149650669725 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.369452577628055 0.0143079416005686 0.0237128423240877 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.361509106860628 0.0140696195531681 0.0157693715566609 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.34877009118765 0.0142052361626127 0.00303035588368361 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.332652699762086 0.0145363899599664 -0.013087035541881 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.346633041743274 0.0144548736521772 0.00089330643930724 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.348621462404641 0.0140459030889436 0.00288172710067436 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.370658197331004 0.0141514420982355 0.0249184620270369 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.346752481733833 0.0139775805712942 0.00101274642986615 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.325991925608629 0.0139141245837767 -0.0197478096953375 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.341535060948333 0.0145776211757434 -0.00420467435563388 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.358705269057214 0.0138606816137315 0.0129655337532475 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.337392263965565 0.0137981812896435 -0.00834747133840213 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.322705467618538 0.0140203759844714 -0.0230342676854292 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.335977952835852 0.0138271928600502 -0.00976178246811499 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.328253089473086 0.0141798087557207 -0.0174866458308804 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.358708776230618 0.013786360561242 0.0129690409266509 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.328420962463056 0.0137208998707416 -0.0173187728409112 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.345507445952489 0.0141436370169275 -0.000232289351478288 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.315444276444364 0.0140176849792336 -0.0302954588596026 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.343717864650113 0.0135229612676864 -0.00202187065385406 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.320232464824466 0.014133094690993 -0.0255072704795012 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.310191540116458 0.0144648462839909 -0.035548195187509 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.342015356323882 0.0140003951347107 -0.00372437898008493 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.313745407572054 0.0144429890749935 -0.031994327731913 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.340147934512309 0.0138946182937182 -0.00559180079165761 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.357210514659847 0.0141367565129659 0.0114707793558801 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.323262174440531 0.0139682245026196 -0.0224775608634361 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.341591386585139 0.0140832750431054 -0.00414834871882824 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.347992207384807 0.0143930821262669 0.0022524720808399 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.341653362354804 0.014375498478419 -0.00408637294916242 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.331157031317246 0.014270213154346 -0.0145827039867204 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.339757334688335 0.0144746871906024 -0.00598240061563193 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.353497240515078 0.0141893622442572 0.00775750521111096 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.359406182850894 0.0139978215421596 0.0136664475469268 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.336841468418426 0.0142502367268908 -0.0088982668855408 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.333082938020704 0.0142649789209801 -0.0126567972832629 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.36563954604875 0.0141810046425753 0.0198998107447836 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.342877210913975 0.013888526395979 -0.00286252438999146 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.390288405714284 0.0141462516873877 0.0445486704103172 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.324687864717746 0.0139657156240302 -0.0210518705862207 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.342171532474023 0.014314241544858 -0.00356820282994419 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.366082916572701 0.0137599485276948 0.0203431812687337 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.314989711562746 0.0139669313546056 -0.0307500237412212 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.34729265146749 0.0143541480032501 0.00155291616352315 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.352272198158548 0.0145174265602956 0.00653246285458153 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.357197928494501 0.0141114140722948 0.0114581931905343 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.338094227446203 0.0137746850305774 -0.00764550785776369 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.320890489903449 0.0142624939927335 -0.0248492454005177 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.32530225830073 0.0143871062776589 -0.0204374770032365 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.317609465298106 0.0137975251173929 -0.0281302700058606 0 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
0.345739735303967 4 0.35_0.35_0.35_0.35 3 FE 0.327571102714762 0.0138201796416006 -0.0181686325892048 1 3000 2024 0.25_0.25_0.25_0.25 150_150_150_1050
